192.168.0.100 - - [19/Aug/2017:01:25:27 +0300] "GET /core/argus.global.js HTTP/1.1" 200 4447 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
192.168.0.100 - - [19/Aug/2017:01:28:43 +0300] "GET / HTTP/1.1" 200 559 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 4 rev: 2116 Mobile Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:37:13 +0300] "GET / HTTP/1.1" 200 559 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:37:13 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:37:40 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:37:46 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:38:14 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:38:37 +0300] "GET / HTTP/1.1" 200 542 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:38:37 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:11 +0300] "GET / HTTP/1.1" 200 542 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:11 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:21 +0300] "GET / HTTP/1.1" 200 542 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:21 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:30 +0300] "GET / HTTP/1.1" 200 542 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:30 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:49 +0300] "GET / HTTP/1.1" 200 326 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:39:49 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:09 +0300] "GET /index.html HTTP/1.1" 200 326 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:09 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:24 +0300] "GET /index.html HTTP/1.1" 304 180 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:24 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:35 +0300] "GET /index.html HTTP/1.1" 304 180 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:41:35 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:42:02 +0300] "GET /index.html HTTP/1.1" 304 180 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:42:02 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:42:07 +0300] "GET /favicon.ico HTTP/1.1" 404 505 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /index.html HTTP/1.1" 200 656 "-" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /core/argus.app.js HTTP/1.1" 200 456 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
192.168.0.103 - - [19/Aug/2017:01:43:13 +0300] "GET /core/argus.global.js HTTP/1.1" 200 4446 "http://192.168.0.104/index.html" "Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3, Mozilla/5.0 (QtEmbedded; U; Linux; C) AppleWebKit/533.3 (KHTML, like Gecko) MAG200 stbapp ver: 2 rev: 250 Safari/533.3"
